City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
98,Lorengau,PG,86.02,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
99,Faanui,PF,79.63,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
107,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
117,Srikakulam,IN,89.6,overcast clouds,18.3,83.9,Sriram residency
119,Kiryat Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
128,Amahai,ID,81.66,broken clouds,-3.3333,128.9167,HOTEL ISABELA
134,Vostok,RU,77.59,scattered clouds,46.4856,135.8833,
136,Mahibadhoo,MV,81.79,scattered clouds,3.7833,72.9667,Omadhoo Inn
139,Jizan,SA,88.74,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
144,Ipixuna,BR,78.75,few clouds,-1.7625,-48.8043,Casa da Oscarina
147,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
152,Sibolga,ID,85.12,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
155,Wakkanai,JP,84.18,few clouds,45.4094,141.6739,Hyōsetsu-sō
156,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
159,Fairbanks,US,82.4,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
163,Saint Anthony,US,76.71,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
170,Muroto-misakicho,JP,86.04,clear sky,33.2833,134.15,Oota Ryokan
175,Rapid Valley,US,75.38,few clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
176,Dali,CN,79.16,few clouds,25.7,100.1833,Dali Travelling With Hostel
182,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
183,Ambon City,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
185,Fort-Shevchenko,KZ,84.51,few clouds,44.5086,50.263,Oasis hotel Bautino
186,Lishui,CN,80.29,overcast clouds,28.4604,119.9103,Bayi Hotel
187,San Patricio,US,84.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
