City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,Finnsnes,NO,69.2296,17.9811,52.41,95,100,5.23,light rain
358,Ketchikan,US,55.3422,-131.6461,61.27,94,90,12.66,mist
359,Lunéville,FR,48.6,6.5,61.38,95,73,4.52,broken clouds
360,Poshekhon'ye,RU,58.4993,39.1353,59.0,68,100,2.21,light rain
361,Ancud,CL,-41.8697,-73.8203,50.23,88,100,21.52,overcast clouds
362,Pangnirtung,CA,66.1451,-65.7125,42.17,98,100,3.24,light rain
363,Vetlanda,SE,57.4289,15.0776,47.53,89,9,1.74,clear sky
364,Lázaro Cárdenas,MX,17.9583,-102.2,79.09,89,100,5.1,overcast clouds
365,San Matías,BO,-16.3667,-58.4,67.91,41,38,5.03,scattered clouds
366,Kholodnyy,RU,62.7167,147.95,50.99,51,84,15.5,broken clouds
367,Ahipara,NZ,-35.1667,173.1667,58.3,79,94,12.95,overcast clouds
368,Buin,CL,-33.7333,-70.75,58.05,70,1,0.4,clear sky
369,Kristinestad,FI,62.2743,21.376,53.31,76,9,7.4,clear sky
370,Chandler,US,33.3062,-111.8412,105.35,21,1,6.91,clear sky
371,Yuci,CN,37.6803,112.7319,87.55,33,0,6.71,clear sky
372,Faya,SA,18.3851,42.4509,62.71,65,77,2.89,broken clouds
373,Lavrentiya,RU,65.5833,-171.0,57.2,82,36,10.69,scattered clouds
374,Bikin,RU,46.8161,134.26,90.41,45,57,3.18,broken clouds
375,Graneros,CL,-34.0667,-70.7333,47.39,53,1,1.99,clear sky
376,Leh,IN,34.1667,77.5833,63.05,46,11,5.41,few clouds
377,Dunedin,NZ,-45.8742,170.5036,49.8,71,100,18.01,light rain
378,North Bend,US,43.4065,-124.2243,60.93,97,90,6.91,mist
379,Aklavik,CA,68.2191,-135.0107,68.83,42,29,9.1,scattered clouds
380,Codrington,AU,-38.2667,141.9667,55.71,80,100,15.61,overcast clouds
381,Beira,MZ,-19.8436,34.8389,64.49,94,20,0.0,few clouds
382,Kon Tum,VN,14.35,108.0,74.79,95,100,7.18,overcast clouds
383,Aginskoye,RU,51.1,114.53,74.82,45,47,11.77,scattered clouds
384,Launceston,AU,-41.45,147.1667,56.84,67,75,4.0,broken clouds
385,Lufilufi,WS,-13.8745,-171.5986,85.78,76,84,12.01,broken clouds
386,Constitución,CL,-35.3333,-72.4167,51.64,86,99,9.93,overcast clouds
387,Suba,PH,10.8438,121.0102,84.02,80,35,19.69,scattered clouds
388,Pringsewu,ID,-5.3582,104.9744,89.8,50,87,2.91,overcast clouds
389,Susanville,US,40.4163,-120.653,82.24,16,1,5.75,clear sky
390,Dmitriyevskaya,RU,45.6564,40.7653,75.76,73,17,5.53,few clouds
391,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,2.3,overcast clouds
392,Mossamedes,AO,-15.1961,12.1522,68.67,63,8,4.97,clear sky
393,Pemangkat,ID,1.1667,108.9667,86.22,62,99,7.43,overcast clouds
394,Black River,JM,18.0264,-77.8487,82.4,81,5,2.93,clear sky
395,Luba,GQ,3.4568,8.5547,76.89,85,31,7.99,scattered clouds
396,Khedbrahma,IN,24.0333,73.05,82.76,70,97,11.21,overcast clouds
397,Porto Belo,BR,-27.1578,-48.5531,66.16,91,100,7.58,overcast clouds
398,Yangi Marg`ilon,UZ,40.4272,71.7189,81.82,38,0,6.91,clear sky
399,Nchelenge,ZM,-9.3451,28.734,60.6,50,29,6.82,scattered clouds
400,Port Macquarie,AU,-31.4333,152.9167,68.9,40,2,13.2,clear sky
401,Broome,US,42.2506,-75.833,63.57,81,6,2.37,clear sky
402,Sambava,MG,-14.2667,50.1667,67.24,80,4,8.03,clear sky
403,Thomaston,US,32.8882,-84.3266,75.04,79,1,1.01,clear sky
404,Rawson,AR,-43.3002,-65.1023,62.24,33,29,32.99,scattered clouds
405,Ust'-Kut,RU,56.7938,105.7672,71.24,58,80,10.18,light rain
406,Paamiut,GL,61.994,-49.6678,44.11,95,100,4.52,overcast clouds
407,São João da Barra,BR,-21.6403,-41.0511,62.94,89,17,10.83,few clouds
408,Sajanan,TN,37.0573,9.2426,75.47,85,86,5.28,overcast clouds
409,Santoña,ES,43.4439,-3.4576,63.59,91,82,4.56,broken clouds
410,Bonfim,BR,3.0833,-59.95,72.36,93,23,2.95,few clouds
411,Kargasok,RU,59.0556,80.8572,70.95,60,98,9.01,overcast clouds
412,Rockport,US,28.0206,-97.0544,84.99,86,1,3.0,clear sky
413,Santiago del Estero,AR,-27.7951,-64.2615,56.39,38,6,7.63,clear sky
414,Soria,ES,41.6667,-2.6667,53.85,83,4,2.35,clear sky
415,Vitry-le-François,FR,48.7333,4.5833,61.66,97,73,3.98,moderate rain
416,Karpathos,GR,35.507,27.2132,81.81,67,0,17.67,clear sky
417,Mangan,IN,27.5167,88.5333,86.25,61,100,4.16,overcast clouds
418,Scottsbluff,US,41.8666,-103.6672,71.82,52,18,1.01,few clouds
419,Pachino,IT,36.7186,15.0907,84.6,65,0,10.54,clear sky
420,Salta,AR,-24.7859,-65.4117,52.39,58,0,1.99,clear sky
421,Rome,US,43.2128,-75.4557,65.88,86,3,1.01,clear sky
422,Berdigestyakh,RU,62.0989,126.6992,82.13,25,98,4.5,overcast clouds
423,Gatton,AU,-27.55,152.2833,67.33,35,0,14.03,clear sky
424,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,8.05,few clouds
425,Biloela,AU,-24.4167,150.5,68.49,26,5,16.33,clear sky
426,Channel-Port aux Basques,CA,47.5702,-59.1367,56.98,75,77,3.51,broken clouds
427,Koumac,NC,-20.5667,164.2833,71.8,67,98,3.96,overcast clouds
428,Srīvardhan,IN,18.0333,73.0167,81.64,83,92,16.49,overcast clouds
429,Tiznit Province,MA,29.5833,-9.5,67.82,73,0,1.3,clear sky
430,Açucena,BR,-19.0731,-42.5464,55.92,75,99,1.21,overcast clouds
431,Altamira,BR,-3.2033,-52.2064,73.87,59,31,2.59,scattered clouds
432,Denpasar,ID,-8.65,115.2167,83.86,79,40,14.97,scattered clouds
433,Mahanoro,MG,-19.9,48.8,65.61,84,91,4.14,light rain
434,Edmond,US,35.6528,-97.4781,78.84,68,95,1.99,overcast clouds
435,Aligoodarz,IR,33.4006,49.6949,71.67,34,59,6.51,broken clouds
436,Bonthe,SL,7.5264,-12.505,75.76,90,100,6.4,moderate rain
437,Yangambi,CD,0.8102,24.4336,70.59,87,34,2.62,scattered clouds
438,Kendari,ID,-3.945,122.4989,82.13,77,64,5.64,broken clouds
439,Flin Flon,CA,54.7682,-101.865,60.26,43,26,5.97,scattered clouds
440,Stokmarknes,NO,68.5646,14.9108,53.49,96,100,8.1,overcast clouds
441,Mandalgovi,MN,45.7625,106.2708,70.86,36,0,9.93,clear sky
442,Berlevåg,NO,70.8578,29.0864,46.4,89,100,18.72,overcast clouds
443,Coyhaique,CL,-45.5752,-72.0662,30.15,93,100,1.14,mist
444,Ereymentau,KZ,51.6199,73.1033,71.44,47,45,8.23,scattered clouds
445,Kiunga,PG,-6.1219,141.2906,79.74,92,83,1.95,broken clouds
446,Hannibal,US,39.7084,-91.3585,72.55,85,80,5.7,broken clouds
447,Kultuk,RU,51.7208,103.6956,78.03,49,28,1.41,scattered clouds
448,Fallon,US,39.4735,-118.7774,91.45,14,40,5.75,haze
449,Talara,PE,-4.5772,-81.2719,65.26,87,0,13.56,clear sky
450,Samokov,BG,42.3333,23.55,66.02,47,0,6.17,clear sky
451,Ulaanbaatar,MN,47.9077,106.8832,66.33,59,53,4.47,smoke
452,Xaçmaz,AZ,41.4635,48.806,87.84,28,18,1.5,few clouds
453,Kasane,BW,-17.8167,25.15,42.89,70,0,1.14,clear sky
454,Alta Floresta,BR,-9.8756,-56.0861,69.94,45,4,3.87,clear sky
455,Ébolowa,CM,2.9,11.15,68.5,97,100,3.15,light rain
456,Topolobampo,MX,25.6,-109.05,85.05,68,53,5.26,broken clouds
457,Hongjiang,CN,27.11,109.9956,93.74,51,36,8.86,scattered clouds
458,Mehamn,NO,71.0357,27.8492,48.38,87,40,13.8,scattered clouds
459,Hereford,GB,52.0568,-2.7148,58.08,68,80,5.7,broken clouds
460,Mocuba,MZ,-16.8392,36.9856,59.29,89,0,2.68,clear sky
461,Bodden Town,KY,19.2833,-81.25,82.99,83,20,1.99,few clouds
462,Kongolo,CD,-5.3833,27.0,74.84,46,47,3.27,scattered clouds
463,Altea,ES,38.5989,-0.0514,77.67,80,0,4.18,clear sky
464,Leshukonskoye,RU,64.8989,45.7622,51.42,74,98,8.21,overcast clouds
465,Pierre,US,44.3683,-100.351,74.86,64,83,1.99,broken clouds
466,Reconquista,AR,-29.15,-59.65,51.67,83,86,7.29,overcast clouds
467,Tautira,PF,-17.7333,-149.15,78.82,74,6,11.79,clear sky
468,Sémbé,CG,1.6481,14.5806,73.35,73,96,2.98,overcast clouds
469,Bowen,AU,-20.0167,148.2333,70.02,31,8,11.92,clear sky
470,Nome,US,64.5011,-165.4064,67.15,74,23,7.67,few clouds
471,Tacoronte,ES,28.4769,-16.4102,68.45,69,90,15.01,overcast clouds
472,Along,IN,28.1667,94.7667,92.16,54,31,2.13,scattered clouds
473,Igrim,RU,63.1906,64.4162,72.28,58,69,7.94,broken clouds
474,Mizdah,LY,31.4451,12.9801,78.64,31,0,6.67,clear sky
475,Souris,CA,49.6172,-100.2612,67.86,81,3,10.4,clear sky
476,Dawson Creek,CA,55.7666,-120.2362,78.44,41,1,5.75,clear sky
477,Arman',RU,59.7,150.1667,58.39,48,80,4.27,broken clouds
478,Payo,ID,-3.7508,103.6372,84.43,64,98,1.77,overcast clouds
479,Llanes,ES,43.4198,-4.7549,62.87,79,76,1.77,broken clouds
480,Santa Cruz del Sur,CU,20.7147,-77.9956,78.55,79,59,1.07,light rain
481,Yerbogachën,RU,61.2767,108.0108,60.21,93,100,9.24,moderate rain
482,Aleksandrovskiy Zavod,RU,50.9237,117.9374,58.33,92,100,6.29,overcast clouds
