City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Umm Lajj,SA,2021-08-03 11:33:23,25.0213,37.2685,95.32,55,2,16.44
149,Lebu,CL,2021-08-03 11:34:15,-37.6167,-73.65,50.45,92,34,16.49
150,Rio Grande,BR,2021-08-03 11:29:49,-32.035,-52.0986,49.95,87,100,4.85
151,Zvishavane,ZW,2021-08-03 11:34:16,-20.3267,30.0665,72.19,27,0,11.41
152,Kalevala,RU,2021-08-03 11:34:16,65.2,31.1667,54.19,95,100,15.57
153,Los Llanos De Aridane,ES,2021-08-03 11:34:16,28.6585,-17.9182,72.12,79,75,11.5
154,Nueva Guinea,NI,2021-08-03 11:34:17,11.6876,-84.4562,73.49,99,100,3.62
155,Kimberley,ZA,2021-08-03 11:34:17,-28.7323,24.7623,73.09,17,0,14.97
156,Husavik,IS,2021-08-03 11:34:18,66.0449,-17.3389,53.51,77,89,5.23
157,Nikolskoye,RU,2021-08-03 11:34:18,59.7035,30.7861,70.79,63,34,11.86
158,Fallon,US,2021-08-03 11:34:18,39.4735,-118.7774,75.45,29,1,4.61
159,Tolaga Bay,NZ,2021-08-03 11:34:19,-38.3667,178.3,50.04,80,99,21.27
160,Chuy,UY,2021-08-03 11:34:19,-33.6971,-53.4616,49.77,87,4,2.93
161,Gizo,SB,2021-08-03 11:34:20,-8.103,156.8419,80.92,80,90,9.06
162,Nereju,RO,2021-08-03 11:34:20,45.7167,26.7167,75.24,56,62,2.53
163,Vao,NC,2021-08-03 11:34:21,-22.6667,167.4833,68.47,67,72,7.63
164,Ouesso,CG,2021-08-03 11:34:21,1.6136,16.0517,90.09,43,98,4.74
165,Kruisfontein,ZA,2021-08-03 11:34:21,-34.0033,24.7314,82.89,14,0,17.69
166,Boden,SE,2021-08-03 11:34:22,65.8252,21.6886,64.4,28,77,11.63
167,Margate,GB,2021-08-03 11:31:25,51.3813,1.3862,70.18,70,67,10.76
168,Saquena,PE,2021-08-03 11:34:22,-4.6667,-73.5167,68.45,75,63,1.63
169,Faanui,PF,2021-08-03 11:34:23,-16.4833,-151.75,78.15,78,47,10.31
170,Nantucket,US,2021-08-03 11:30:07,41.2835,-70.0995,72.97,91,20,0.0
171,Porto Velho,BR,2021-08-03 11:33:52,-8.7619,-63.9039,66.25,77,44,2.3
172,Avera,US,2021-08-03 11:34:23,33.194,-82.5271,75.07,79,100,6.8
173,Brattvag,NO,2021-08-03 11:34:24,62.6002,6.4434,63.7,58,20,9.22
174,Kirya,TZ,2021-08-03 11:34:24,-3.9167,37.4833,86.04,31,77,11.92
